Тип объекта,Имя регистра,Синоним,Контур учета,Тип хранения,Назначение,Что хранит,Ключевая аналитика,Ресурсы/значения,Реквизиты/признаки,Кто пишет,Подтвержденные источники,Когда меняется,Связи,Уверенность,XML путь,Ошибка разбора
Регистр сведений,СостоянияВыгрузкиВЦентрЭДО,Состояния выгрузки в центр ЭДО,Цены / скидки / условия,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Цены / скидки / условия': Состояния выгрузки в центр ЭДО.,"Аналитики: ИдентификаторЭДО (Идентификатор ЭДО). Значения: ДатаНачала (Дата начала), ДатаЗавершенияРегистрации (Дата завершения регистрации), ДатаЗавершения (Дата завершения), ДокументовВыгружено (Документов выгружено), ДокументовОсталось (Документов осталось). ",ИдентификаторЭДО (Идентификатор ЭДО),"ДатаНачала (Дата начала), ДатаЗавершенияРегистрации (Дата завершения регистрации), ДатаЗавершения (Дата завершения), ДокументовВыгружено (Документов выгружено), ДокументовОсталось (Документов осталось)",,18 CommonModules; 8 InformationRegisters,InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:17; InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:72; InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:76; InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:82; InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:99; InformationRegisters:СостоянияВыгрузкиВЦентрЭДО:105; InformationRegisters:УчетныеЗаписиЭДО:2810; InformationRegisters:УчетныеЗаписиЭДО:2814; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДОВызовСервера:162; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДОВызовСервера:165; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:7264; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:7267; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:7288; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:7296; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:7299,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияВыгрузкиВЦентрЭДО.xml,
Регистр сведений,СостоянияВыгрузкиЗагрузкиОбластейДанных,Состояния выгрузки/загрузки областей данных,Взаиморасчеты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Взаиморасчеты': Состояния выгрузки/загрузки областей данных.,"Аналитики: Идентификатор. Значения: ЗагрузкаОбластиДанных (Загрузка области данных), ДатаОбновления (Дата обновления (UTC)), ДатаНачала (Дата начала (UTC)), РасчетнаяДатаЗавершения (Расчетная дата завершения (UTC)), ФактическаяДатаЗавершения (Фактическая дата завершения (UTC)), ПроцентЗавершения (% завершения). Признаки: ВсегоОбъектов (Всего объектов), ОбработаноОбъектов (Обработано объектов), ДатаНачалаОбработкиОбъектов (Дата начала обработки объектов), ДатаЗавершенияОбработкиОбъектов (Дата завершения обработки объектов), ОбработаноОбъектовДоТекущегоОбъектаМетаданных (Обработано объектов до текущего объекта метаданных), ИмяОбрабатываемогоОбъектаМетаданных (Имя обрабатываемого объекта метаданных).",Идентификатор,"ЗагрузкаОбластиДанных (Загрузка области данных), ДатаОбновления (Дата обновления (UTC)), ДатаНачала (Дата начала (UTC)), РасчетнаяДатаЗавершения (Расчетная дата завершения (UTC)), ФактическаяДатаЗавершения (Фактическая дата завершения (UTC)), ПроцентЗавершения (% завершения)","ВсегоОбъектов (Всего объектов), ОбработаноОбъектов (Обработано объектов), ДатаНачалаОбработкиОбъектов (Дата начала обработки объектов), ДатаЗавершенияОбработкиОбъектов (Дата завершения обработки объектов), ОбработаноОбъектовДоТекущегоОбъектаМетаданных (Обработано объектов до текущего объекта метаданных), ИмяОбрабатываемогоОбъектаМетаданных (Имя обрабатываемого объекта метаданных)",1 CommonModules; 1 DataProcessors,DataProcessors:ВыгрузкаЗагрузкаДанныхМенеджерКонтейнера:2062; CommonModules:РаботаВМоделиСервиса:3156,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияВыгрузкиЗагрузкиОбластейДанных.xml,
Регистр сведений,СостоянияВыгрузкиНоменклатуры,Состояния выгрузки номенклатуры,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Состояния выгрузки номенклатуры.,"Аналитики: Организация, Номенклатура, ХарактеристикаНоменклатуры (Характеристика номенклатуры). Значения: ИдентификаторПакетаДанных (Идентификатор пакета данных), Состояние, ДатаСостояния (Дата состояния), ОписаниеОшибки (Описание ошибки), Хеш, РасшифровкаПроблемы (Расшифровка проблемы). Признаки: ВыгружатьНоменклатуру (Выгружать номенклатуру), ВыгружатьВНациональныйКаталог (Выгружать в Национальный каталог).","Организация, Номенклатура, ХарактеристикаНоменклатуры (Характеристика номенклатуры)","ИдентификаторПакетаДанных (Идентификатор пакета данных), Состояние, ДатаСостояния (Дата состояния), ОписаниеОшибки (Описание ошибки), Хеш, РасшифровкаПроблемы (Расшифровка проблемы)","ВыгружатьНоменклатуру (Выгружать номенклатуру), ВыгружатьВНациональныйКаталог (Выгружать в Национальный каталог)",8 CommonModules; 9 DataProcessors,DataProcessors:РаботаСНоменклатурой:15; DataProcessors:РаботаСНоменклатурой:177; DataProcessors:РаботаСНоменклатурой:282; DataProcessors:РаботаСНоменклатурой:472; DataProcessors:РаботаСНоменклатурой:535; DataProcessors:РаботаСНоменклатурой:644; DataProcessors:РаботаСНоменклатурой:658; DataProcessors:РаботаСНоменклатурой:694; DataProcessors:РаботаСНоменклатурой:305; CommonModules:РаботаСНоменклатурой:1100; CommonModules:РаботаСНоменклатурой:4846; CommonModules:РаботаСНоменклатурой:4961; CommonModules:РаботаСНоменклатуройСлужебный:3182; CommonModules:РаботаСНоменклатуройСлужебный:8791; CommonModules:РаботаСНоменклатуройСлужебный:10170,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияВыгрузкиНоменклатуры.xml,
Регистр сведений,СостоянияДокументовЭДО,Состояния документов ЭДО,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния документов ЭДО.,"Аналитики: ЭлектронныйДокумент (Электронный документ). Значения: Состояние, СостояниеДополнение (Состояние дополнение), ДатаИзменения (Дата изменения), Комментарий. ",ЭлектронныйДокумент (Электронный документ),"Состояние, СостояниеДополнение (Состояние дополнение), ДатаИзменения (Дата изменения), Комментарий",,9 CommonModules; 2 Documents; 3 InformationRegisters,InformationRegisters:СостоянияДокументовЭДО:33; InformationRegisters:СостоянияДокументовЭДО:106; InformationRegisters:СостоянияДокументовЭДО:140; Documents:ЭлектронныйДокументИсходящийЭДО:2883; Documents:ЭлектронныйДокументИсходящийЭДО:2917; CommonModules:ЭлектронныеДокументыЭДОСлужебный:18831; CommonModules:ЭлектронныеДокументыЭДОСлужебный:18838; CommonModules:ЭлектронныеДокументыЭДОИнтеграцияЦентраЭДО:4864; CommonModules:ЭлектронныеДокументыЭДО:6425; CommonModules:ЭлектронныеДокументыЭДО:7078; CommonModules:ЭлектронныеДокументыЭДО:7081; CommonModules:ЭлектронныеДокументыЭДО:8944; CommonModules:ЭлектронныеДокументыЭДОЦентрЭДО:5467; CommonModules:ОбменСГИСЭПД:10470,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияДокументовЭДО.xml,
Регистр сведений,СостоянияЗаданийРаспознаваниеДокументов,Состояния заданий,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния заданий.,"Аналитики: ИдентификаторЗадания (Идентификатор задания). Значения: Статус, ИдентификаторИсточникаРаспознавания (Идентификатор источника распознавания). ",ИдентификаторЗадания (Идентификатор задания),"Статус, ИдентификаторИсточникаРаспознавания (Идентификатор источника распознавания)",,5 CommonModules; 1 DataProcessors; 1 Documents; 1 InformationRegisters,InformationRegisters:СостоянияЗаданийРаспознаваниеДокументов:7; DataProcessors:РаспознаваниеДокументов:46; Documents:РаспознанныйДокумент:2154; CommonModules:РаспознаваниеДокументов:511; CommonModules:РаспознаваниеДокументов:554; CommonModules:РаспознаваниеДокументов:941; CommonModules:РаспознаваниеДокументов:1761; CommonModules:РаспознаваниеДокументов:1827,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияЗаданийРаспознаваниеДокументов.xml,
Регистр сведений,СостоянияЗаказовКлиентов,Состояния заказов клиентов,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Состояния заказов клиентов.,"Аналитики: Заказ. Значения: Состояние, ДатаСобытия (Дата события). Признаки: СуммаОплаты (Сумма оплаты), ПроцентОплаты (Процент оплаты), СуммаОтгрузки (Сумма отгрузки заказа), ПроцентОтгрузки (Процент отгрузки заказа), СуммаДолга (Сумма долга), ПроцентДолга (Процент долга), … +1.",Заказ,"Состояние, ДатаСобытия (Дата события)","СуммаОплаты (Сумма оплаты), ПроцентОплаты (Процент оплаты), СуммаОтгрузки (Сумма отгрузки заказа), ПроцентОтгрузки (Процент отгрузки заказа), СуммаДолга (Сумма долга), ПроцентДолга (Процент долга), ЕстьРасхожденияОрдерНакладная (Есть расхождения ордер накладная)",9 CommonModules; 4 Documents; 4 InformationRegisters,InformationRegisters:СостоянияЗаказовКлиентов:192; InformationRegisters:СостоянияЗаказовКлиентов:201; InformationRegisters:СостоянияЗаказовКлиентов:333; InformationRegisters:СостоянияЗаказовКлиентов:375; Documents:ЗаявкаНаВозвратТоваровОтКлиента:2314; Documents:ЗаявкаНаВозвратТоваровОтКлиента:7522; Documents:ЗаказКлиента:2048; Documents:ЗаказКлиента:6017; CommonModules:ВзаиморасчетыСервер:7100; CommonModules:МенеджерОбменаЧерезУниверсальныйФормат:12160; CommonModules:МенеджерОбменаЧерезУниверсальныйФормат:45368; CommonModules:МенеджерОбменаЧерезУниверсальныйФормат:45433; CommonModules:МенеджерОбменаЧерезУниверсальныйФормат:45467; CommonModules:ОповещенияПользователейОСобытияхПереопределяемый:33; CommonModules:СостоянияДокументов:452,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияЗаказовКлиентов.xml,
Регистр сведений,СостоянияЗаказовПоставщикам,Состояния заказов поставщикам,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Состояния заказов поставщикам.,"Аналитики: Заказ. Значения: Состояние, ДатаСобытия (Дата события). Признаки: СуммаОплаты (Сумма оплаты), ПроцентОплаты (Процент оплаты), СуммаПоступления (Сумма поступления заказа), ПроцентПоступления (Процент поступления заказа), СуммаДолга (Сумма долга), ПроцентДолга (Процент долга), … +1.",Заказ,"Состояние, ДатаСобытия (Дата события)","СуммаОплаты (Сумма оплаты), ПроцентОплаты (Процент оплаты), СуммаПоступления (Сумма поступления заказа), ПроцентПоступления (Процент поступления заказа), СуммаДолга (Сумма долга), ПроцентДолга (Процент долга), ЕстьРасхожденияОрдерНакладная (Есть расхождения ордер накладная)",6 CommonModules; 2 Documents; 8 InformationRegisters,InformationRegisters:СостоянияЗаказовПоставщикам:158; InformationRegisters:СостоянияЗаказовПоставщикам:167; InformationRegisters:СостоянияЗаказовПоставщикам:223; InformationRegisters:СостоянияЗаказовПоставщикам:265; InformationRegisters:СостоянияЗаказовПоставщикам:1292; InformationRegisters:СостоянияЗаказовПоставщикам:1298; InformationRegisters:СостоянияЗаказовПоставщикам:1309; InformationRegisters:СостоянияЗаказовПоставщикам:1439; Documents:ЗаказПоставщику:2073; Documents:ЗаказПоставщику:3732; CommonModules:ОбновлениеИнформационнойБазыУТ:99; CommonModules:ЗакрытиеМесяцаСервер:3836; CommonModules:ВзаиморасчетыСервер:7101; CommonModules:ОповещенияПользователейОСобытияхПереопределяемый:34; CommonModules:СостоянияДокументов:453,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияЗаказовПоставщикам.xml,
Регистр сведений,СостоянияЗапросовКоммерческихПредложений,Состояния запросов коммерческих предложений,Администрирование / настройки / служебные данные,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Администрирование / настройки / служебные данные': Состояния запросов коммерческих предложений.,"Аналитики: ЗапросКоммерческихПредложений (Запрос коммерческих предложений). Значения: ТекущееСостояние (Текущее состояние), НовоеСостояние (Новое состояние), Действие, СостояниеВСервисе (Состояние в сервисе), ДатаОбновления (Дата обновления). ",ЗапросКоммерческихПредложений (Запрос коммерческих предложений),"ТекущееСостояние (Текущее состояние), НовоеСостояние (Новое состояние), Действие, СостояниеВСервисе (Состояние в сервисе), ДатаОбновления (Дата обновления)",,7 CommonModules; 8 Documents; 1 InformationRegisters,InformationRegisters:СостоянияЗапросовКоммерческихПредложений:84; Documents:ЗапросКоммерческихПредложенийПоставщиков:96; Documents:ЗапросКоммерческихПредложенийПоставщиков:399; Documents:ЗапросКоммерческихПредложенийПоставщиков:419; Documents:ЗапросКоммерческихПредложенийПоставщиков:3056; Documents:ЗапросКоммерческихПредложенийПоставщиков:3061; Documents:ЗапросКоммерческихПредложенийПоставщиков:6261; Documents:ЗапросКоммерческихПредложенийПоставщиков:2639; Documents:ЗапросКоммерческихПредложенийПоставщиков:2644; CommonModules:КоммерческиеПредложенияДокументыЛокализация:39; CommonModules:ИнтеграцияСЭлектроннымиТорговымиПлощадкамиПереопределяемый:317; CommonModules:ИнтеграцияСЭлектроннымиТорговымиПлощадкамиПереопределяемый:336; CommonModules:ИнтеграцияСЭлектроннымиТорговымиПлощадкамиПереопределяемый:339; CommonModules:ИнтеграцияСЭлектроннымиТорговымиПлощадками:4440; CommonModules:ИнтеграцияСЭлектроннымиТорговымиПлощадками:4457,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияЗапросовКоммерческихПредложений.xml,
Регистр сведений,СостоянияИРеквизитыДоставки,Состояния и реквизиты доставки,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Состояния и реквизиты доставки.,"Аналитики: Распоряжение, Склад, ПолучательОтправитель (Получатель отправитель), Перевозчик, СпособДоставки (Способ доставки), Зона. Значения: Адрес, Состояние, ДоставитьПолностью (Доставить полностью). Признаки: АдресЗначенияПолей (Адрес значения полей), ВремяС (Время С), ВремяПо (Время по), ДополнительнаяИнформация (Дополнительная информация), Номер, Дата, … +3.","Распоряжение, Склад, ПолучательОтправитель (Получатель отправитель), Перевозчик, СпособДоставки (Способ доставки), Зона","Адрес, Состояние, ДоставитьПолностью (Доставить полностью)","АдресЗначенияПолей (Адрес значения полей), ВремяС (Время С), ВремяПо (Время по), ДополнительнаяИнформация (Дополнительная информация), Номер, Дата, ОсобыеУсловияПеревозки (Особые условия перевозки), ОсобыеУсловияПеревозкиОписание (Особые условия перевозки описание), РазбиватьРасходныеОрдераПоРаспоряжениям (Разбивать расходные ордера по распоряжениям)",4 CommonModules; 1 InformationRegisters,InformationRegisters:ОчередьПереоформленияРасходныхОрдеров:25; CommonModules:ДоставкаТоваров:600; CommonModules:ДоставкаТоваров:636; CommonModules:ДоставкаТоваров:1033; CommonModules:УправлениеДоступомПереопределяемый:440,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияИРеквизитыДоставки.xml,
Регистр сведений,СостоянияИнтеграцииОбъектов,Состояния интеграции объектов,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния интеграции объектов.,"Аналитики: ИдентификаторОбъекта (Идентификатор объекта), УчетнаяСистема (Учетная система). Значения: Состояние, Описание. ","ИдентификаторОбъекта (Идентификатор объекта), УчетнаяСистема (Учетная система)","Состояние, Описание",,1 CommonModules,CommonModules:ИнтеграцияОбъектовОбластейДанных:23,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияИнтеграцииОбъектов.xml,
Регистр сведений,СостоянияКоммерческихПредложенийКлиентам,Состояния коммерческих предложений клиентам,Продажи / клиенты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Продажи / клиенты': Состояния коммерческих предложений клиентам.,Аналитики: КоммерческоеПредложениеКлиенту (Коммерческое предложение клиенту). Признаки: Состояние.,КоммерческоеПредложениеКлиенту (Коммерческое предложение клиенту),,Состояние,2 CommonModules; 1 Documents; 1 InformationRegisters,InformationRegisters:СостоянияКоммерческихПредложенийКлиентам:17; Documents:КоммерческоеПредложениеКлиенту:199; CommonModules:КоммерческиеПредложенияДокументыУТ:105; CommonModules:КоммерческиеПредложенияДокументыУТ:3824,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияКоммерческихПредложенийКлиентам.xml,
Регистр сведений,СостоянияКонтактовВзаимодействий,Состояния контактов взаимодействий,Администрирование / настройки / служебные данные,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Администрирование / настройки / служебные данные': Состояния контактов взаимодействий.,"Аналитики: Контакт. Значения: КоличествоНеРассмотрено (Количество не рассмотрено), ДатаПоследнегоВзаимодействия (Дата последнего взаимодействия). ",Контакт,"КоличествоНеРассмотрено (Количество не рассмотрено), ДатаПоследнегоВзаимодействия (Дата последнего взаимодействия)",,4 CommonModules; 1 DocumentJournals,CommonModules:Взаимодействия:6919; CommonModules:Взаимодействия:7075; CommonModules:Взаимодействия:7081; CommonModules:Взаимодействия:7083; DocumentJournals:DocumentJournals/Взаимодействия/Forms/ФормаСписка/Ext/Form/Module.bsl:3079,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияКонтактовВзаимодействий.xml,
Регистр сведений,СостоянияКонтрагентов,Состояния контрагентов,Взаиморасчеты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Взаиморасчеты': Состояния контрагентов.,"Аналитики: Контрагент. Значения: Состояние. Признаки: ИНН, КПП, ПричинаОтключения (Причина отключения).",Контрагент,Состояние,"ИНН, КПП, ПричинаОтключения (Причина отключения)",3 CommonModules,CommonModules:ПроверкаКонтрагентов:1847; CommonModules:ПроверкаКонтрагентов:2402; CommonModules:ПроверкаКонтрагентов:2406,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияКонтрагентов.xml,
Регистр сведений,СостоянияКонтрагентовБЭД,Состояния контрагентов БЭД,Взаиморасчеты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Взаиморасчеты': Состояния контрагентов БЭД.,"Аналитики: Контрагент. Значения: Состояние. Признаки: ИНН, КПП.",Контрагент,Состояние,"ИНН, КПП",1 Catalogs; 4 CommonModules,Catalogs:Catalogs/УдалитьСоглашенияОбИспользованииЭД/Ext/ManagerModule.bsl:1297; CommonModules:РаботаСАбонентамиЭДОСлужебный:931; CommonModules:НастройкиЭДОСлужебный:592; CommonModules:НастройкиЭДОСлужебный:605; CommonModules:РаботаСАбонентамиЭДО:1378,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияКонтрагентовБЭД.xml,
Регистр сведений,СостоянияНовостей,Состояния новостей,Администрирование / настройки / служебные данные,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Администрирование / настройки / служебные данные': Состояния новостей.,"Аналитики: Пользователь, Новость. Значения: Прочтена, Пометка, ОповещениеВключено (Оповещение включено), ДатаНачалаОповещения (Дата начала оповещения), УдаленаИзСпискаНовостей (Удалена из списка новостей), ПрочитатьПозже (Прочитать позже). ","Пользователь, Новость","Прочтена, Пометка, ОповещениеВключено (Оповещение включено), ДатаНачалаОповещения (Дата начала оповещения), УдаленаИзСпискаНовостей (Удалена из списка новостей), ПрочитатьПозже (Прочитать позже)",,4 Catalogs; 15 CommonModules,Catalogs:Catalogs/Новости/Forms/ФормаНовостейСоСписком/Ext/Form/Module.bsl:407; Catalogs:Catalogs/Новости/Forms/ФормаНовостей/Ext/Form/Module.bsl:209; Catalogs:Catalogs/Новости/Forms/ФормаНовости/Ext/Form/Module.bsl:155; Catalogs:Catalogs/Новости/Forms/ФормаНовости/Ext/Form/Module.bsl:823; CommonModules:ОбработкаНовостейСлужебный:311; CommonModules:ОбработкаНовостейСлужебный:8164; CommonModules:ОбработкаНовостейСлужебный:10326; CommonModules:ОбработкаНовостейСлужебный:10372; CommonModules:ОбработкаНовостейСлужебный:10425; CommonModules:ОбработкаНовостейСлужебный:10435; CommonModules:ОбработкаНовостейСлужебный:10476; CommonModules:ОбработкаНовостейСлужебный:10664; CommonModules:ОбработкаНовостей:329; CommonModules:ОбработкаНовостей:515; CommonModules:ОбработкаНовостей:592,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияНовостей.xml,
Регистр сведений,СостоянияОбменСБанками,Состояния обмена с банками,Денежные средства / казначейство,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Денежные средства / казначейство': Состояния обмена с банками.,"Аналитики: СсылкаНаОбъект (Ссылка на объект информационной базы). Значения: Состояние, СообщениеОбмена (Сообщение обмена). Признаки: ПредставлениеСостояния (Представление состояния), ТребуетсяУведомлениеПользователю (Требуется уведомление пользователю).",СсылкаНаОбъект (Ссылка на объект информационной базы),"Состояние, СообщениеОбмена (Сообщение обмена)","ПредставлениеСостояния (Представление состояния), ТребуетсяУведомлениеПользователю (Требуется уведомление пользователю)",11 CommonModules; 1 DataProcessors; 3 Documents; 2 InformationRegisters,InformationRegisters:СостоянияОбменСБанками:113; InformationRegisters:СостоянияОбменСБанками:120; DataProcessors:ЖурналДокументовБезналичныеПлатежи:2579; Documents:СообщениеОбменСБанками:86; Documents:СообщениеОбменСБанками:146; Documents:СообщениеОбменСБанками:504; CommonModules:ОбменСБанками:119; CommonModules:ОбменСБанками:1093; CommonModules:ОбменСБанками:1597; CommonModules:ОбменСБанками:1599; CommonModules:ОбменСБанками:1689; CommonModules:ОбменСБанкамиСлужебныйВызовСервера:5843; CommonModules:ОбменСБанкамиСлужебный:3424; CommonModules:ОбменСБанкамиСлужебный:6042; CommonModules:ОбменСБанкамиСлужебный:13622,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияОбменСБанками.xml,
Регистр сведений,СостоянияОбменовДанными,Состояния обменов данными,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния обменов данными.,"Аналитики: УзелИнформационнойБазы (Узел информационной базы), ДействиеПриОбмене (Действие при обмене). Значения: РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания). ","УзелИнформационнойБазы (Узел информационной базы), ДействиеПриОбмене (Действие при обмене)","РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания)",,3 CommonModules; 1 DataProcessors; 1 InformationRegisters,InformationRegisters:СостоянияОбменовССайтом:23; DataProcessors:КонвертацияОбъектовИнформационныхБаз:14312; CommonModules:ОбменДаннымиСервер:5653; CommonModules:ОбменДаннымиСервер:10531; CommonModules:МобильноеПриложениеЗаказыКлиентов:2473,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияОбменовДанными.xml,
Регистр сведений,СостоянияОбменовДаннымиОбластейДанных,Состояния обменов данными областей данных,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния обменов данными областей данных.,"Аналитики: УзелИнформационнойБазы (Узел информационной базы), ДействиеПриОбмене (Действие при обмене). Значения: РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания). ","УзелИнформационнойБазы (Узел информационной базы), ДействиеПриОбмене (Действие при обмене)","РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания)",,2 CommonModules,CommonModules:ОбменДаннымиВМоделиСервиса:230; CommonModules:МобильноеПриложениеЗаказыКлиентов:2470,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияОбменовДаннымиОбластейДанных.xml,
Регистр сведений,СостоянияОбменовССайтом,Состояния обменов с сайтом,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': Состояния обменов с сайтом.,"Аналитики: НастройкаОбменаССайтом (Настройка обмена с сайтом), ДействиеПриОбмене (Действие при обмене). Значения: РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания). ","НастройкаОбменаССайтом (Настройка обмена с сайтом), ДействиеПриОбмене (Действие при обмене)","РезультатВыполненияОбмена (Результат выполнения обмена), ДатаНачала (Дата начала), ДатаОкончания (Дата окончания)",,3 CommonModules; 1 InformationRegisters,InformationRegisters:СостоянияОбменовССайтом:27; CommonModules:ОбменССайтомСобытия:188; CommonModules:ОбменССайтомСобытия:503; CommonModules:ОбменССайтом:215,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/СостоянияОбменовССайтом.xml,
