Тип объекта,Имя регистра,Вид поля,Поле,Синоним,Тип,Подсказка,В итогах,Проверка заполнения,XML путь
Регистр сведений,НастройкиОбменаЕИСДляЗаказчиков,Ресурс,ТокенАвторизации,Токен-ключ авторизации,; xs:string,"Токен можно найти в личном кабинете участника закупок ЕИС в разделе ""Администрирование"" > ""Профиль участника"" в поле ""Уникальный токен ключ"".",,DontCheck,InformationRegisters/НастройкиОбменаЕИСДляЗаказчиков.xml
Регистр сведений,НастройкиОбменаЕИСДляЗаказчиков,Ресурс,ЛогинАльтернативнойИнтеграции,Логин альтернативной интеграции,; xs:string,,,DontCheck,InformationRegisters/НастройкиОбменаЕИСДляЗаказчиков.xml
Регистр сведений,НастройкиОбменаЕИСДляЗаказчиков,Ресурс,ПарольАльтернативнойИнтеграции,Пароль альтернативной интеграции,; xs:string,,,DontCheck,InformationRegisters/НастройкиОбменаЕИСДляЗаказчиков.xml
Регистр сведений,НастройкиОбменаСУЗ,Измерение,РабочееМесто,Рабочее место,; cfg:DefinedType.РабочиеМестаИС,"Рабочее место пользователя, на котором осуществляется обмен с УТМ",,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Измерение,Организация,Организация,; cfg:DefinedType.Организация,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Измерение,СтанцияУправленияЗаказами,Станция управления заказами,; cfg:CatalogRef.СтанцииУправленияЗаказамиИСМП,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Измерение,ПроизводственныйОбъект,Производственный объект,; cfg:DefinedType.ПроизводственныйОбъектИС,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,Адрес,Адрес,; xs:string,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,Порт,Порт,; xs:decimal,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,Таймаут,Таймаут,; xs:decimal,"Определяет время ожидания осуществляемого соединения и операций, в секундах.",,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,Токен,Токен,; xs:string,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ОбменНаСервере,Обмен на сервере 1С:Предприятия,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ОбменНаКлиентеРасписание,Обмен на клиенте расписание,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ОбменНаКлиентеПоРасписанию,Обмен на клиенте по расписанию,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ИспользоватьЗащищенноеСоединение,Использовать защищенное соединение,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ИмяПользователя,Имя пользователя,; xs:string,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ПолучатьКодовЗаИтерацию,Получать кодов за итерацию,; xs:decimal,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,МаксимальноеКоличествоКодовВЗаказе,Максимальное количество кодов в заказе,; xs:decimal,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ИдентификаторСоединения,Идентификатор соединения,; xs:string,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ПроизводственныйОбъектАдрес,Адрес,; xs:string,Внутренние значения полей адреса доставки (контактная информация),,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,ПроизводственныйОбъектАдресСтрокой,Адрес производственного объекта,; xs:string,,,ShowError,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбменаСУЗ,Ресурс,КодФИАС,Код ФИАС,; cfg:DefinedType.УникальныйИдентификаторИС,,,DontCheck,InformationRegisters/НастройкиОбменаСУЗ.xml
Регистр сведений,НастройкиОбщиеСервисДоставки,Измерение,НаименованиеПараметра,Наименование параметра,; xs:string,,,DontCheck,InformationRegisters/НастройкиОбщиеСервисДоставки.xml
Регистр сведений,НастройкиОбщиеСервисДоставки,Измерение,ТипГрузоперевозки,Тип грузоперевозки,; xs:decimal,,,DontCheck,InformationRegisters/НастройкиОбщиеСервисДоставки.xml
Регистр сведений,НастройкиОбщиеСервисДоставки,Ресурс,Значение,Значение,; cfg:DefinedType.ЗначениеПараметровНастройкиСервисДоставки,,,DontCheck,InformationRegisters/НастройкиОбщиеСервисДоставки.xml
Регистр сведений,НастройкиОбщиеСервисДоставки,Ресурс,ЗначениеХранилищеЗначения,Значение хранилище значения,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиОбщиеСервисДоставки.xml
Регистр сведений,НастройкиОткрытияФормПриНачалеРаботыСистемы,Измерение,Пользователь,Пользователь,; cfg:CatalogRef.Пользователи,,,ShowError,InformationRegisters/НастройкиОткрытияФормПриНачалеРаботыСистемы.xml
Регистр сведений,НастройкиОткрытияФормПриНачалеРаботыСистемы,Измерение,ОткрываемаяФорма,Открываемая форма,; cfg:EnumRef.ФормыОткрываемыеПриНачалеРаботыСистемы,,,ShowError,InformationRegisters/НастройкиОткрытияФормПриНачалеРаботыСистемы.xml
Регистр сведений,НастройкиОткрытияФормПриНачалеРаботыСистемы,Ресурс,Параметры,Параметры,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиОткрытияФормПриНачалеРаботыСистемы.xml
Регистр сведений,НастройкиОткрытияФормПриНачалеРаботыСистемы,Ресурс,ОткрыватьПоУмолчанию,Открывать по умолчанию,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОткрытияФормПриНачалеРаботыСистемы.xml
Регистр сведений,НастройкиОткрытияФормПриНачалеРаботыСистемы,Ресурс,ТекстовоеПредставлениеПараметров,Текстовое представление параметров,; xs:string,,,DontCheck,InformationRegisters/НастройкиОткрытияФормПриНачалеРаботыСистемы.xml
Регистр сведений,НастройкиОтправителя,Измерение,КаналСообщений,Канал сообщений,; xs:string,Имя канала сообщений,,DontCheck,InformationRegisters/НастройкиОтправителя.xml
Регистр сведений,НастройкиОтправителя,Измерение,Получатель,Получатель,; cfg:ExchangePlanRef.ОбменСообщениями,Конечная точка (получатель сообщений из канала),,DontCheck,InformationRegisters/НастройкиОтправителя.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Измерение,Отправитель,Отправитель,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Измерение,Получатель,Получатель,; cfg:DefinedType.УчастникЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Измерение,Договор,Договор,; cfg:DefinedType.ДоговорСКонтрагентомЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Ресурс,ДатаНачалаДействия,Дата начала действия,; xs:dateTime,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Ресурс,ИспользоватьУПД,Использовать УПД,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Ресурс,ИспользоватьУКД,Использовать УКД,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Ресурс,ЭтоИнтеркампани,Это интеркампани,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументов,Ресурс,ЭтоПрямойОбмен,Это прямой обмен,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументов.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,Отправитель,Отправитель,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,Получатель,Получатель,; cfg:DefinedType.УчастникЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,Договор,Договор,; cfg:DefinedType.ДоговорСКонтрагентомЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,ВидДокумента,Вид документа,; cfg:CatalogRef.ВидыДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,УдалитьВидДокумента,(не используется) Вид документа,; cfg:EnumRef.ТипыДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Измерение,УдалитьПрикладнойВидЭД,(не используется) Прикладной вид электронного документа,; cfg:DefinedType.ПрикладныеТипыЭлектронныхДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ВерсияФормата,Версия формата,; xs:string,Версия формата обмена,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,СпособОбменаЭД,Способ обмена ЭД,; cfg:EnumRef.СпособыОбменаЭД,Способ обмена электронными документами,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ИдентификаторОтправителя,Идентификатор отправителя,; xs:string,Уникальный идентификатор отправителя в обмене электронными документами,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ИдентификаторПолучателя,Идентификатор получателя,; xs:string,Уникальный идентификатор получателя в обмене электронными документами,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,МаршрутПодписания,Маршрут подписания,; cfg:CatalogRef.МаршрутыПодписания,"Маршрут, по которому будут подписываться документы данного типа",,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ТребуетсяОтветнаяПодпись,Требуется ответная подпись,; xs:boolean,Ожидать ответную подпись получателя,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ТребуетсяИзвещениеОПолучении,Требуется извещение о получении,; xs:boolean,Ожидать извещение о получении электронного документа,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ВыгружатьДополнительныеСведения,Выгружать дополнительные сведения,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,Формировать,Формировать,; xs:boolean,Признак формирования исходящего электронного документа данного типа,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ВерсияФорматаУстановленаВручную,Версия формата установлена вручную,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ЗаполнениеКодаТовара,Заполнение кода товара,; xs:string,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,АдресОтправителя,Адрес отправителя,; xs:string,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,АдресПолучателя,Адрес получателя,; xs:string,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОтправкиЭлектронныхДокументовПоВидам,Ресурс,ОбменБезПодписи,Обмен без подписи,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОтправкиЭлектронныхДокументовПоВидам.xml
Регистр сведений,НастройкиОчередейЗаданий,Измерение,Очередь,Очередь,; xs:string,,,DontCheck,InformationRegisters/НастройкиОчередейЗаданий.xml
Регистр сведений,НастройкиОчередейЗаданий,Ресурс,Приостановлена,Приостановлена,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиОчередейЗаданий.xml
Регистр сведений,НастройкиОчередейЗаданий,Ресурс,ДатаПоследнейОбработки,Дата последней обработки,; xs:dateTime,,,DontCheck,InformationRegisters/НастройкиОчередейЗаданий.xml
Регистр сведений,НастройкиОчисткиФайлов,Измерение,ВладелецФайла,Владелец,; cfg:ExchangePlanRef; cfg:BusinessProcessRef; cfg:DocumentRef; cfg:ChartOfCalculationTypesRef; cfg:TaskRef; cfg:ChartOfCharacteristicTypesRef; cfg:ChartOfAccountsRef; cfg:CatalogRef,Имя владельца файла,,ShowError,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиОчисткиФайлов,Измерение,ТипВладельцаФайла,Тип владельца файла,; cfg:CatalogRef.ИдентификаторыОбъектовРасширений; cfg:CatalogRef.ИдентификаторыОбъектовМетаданных,Имя справочника владельца файла,,DontCheck,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиОчисткиФайлов,Ресурс,ПравилоОтбора,Правило отбора,; v8:ValueStorage,Компоновщик с настройками отбора,,DontCheck,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиОчисткиФайлов,Ресурс,Действие,Действие,; cfg:EnumRef.ВариантыОчисткиФайлов,Вариант очистки файлов,,DontCheck,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиОчисткиФайлов,Ресурс,ПериодОчистки,Период,; cfg:EnumRef.ПериодОчисткиФайлов,Период очистки файлов,,DontCheck,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиОчисткиФайлов,Ресурс,ЭтоФайл,Это файл,; xs:boolean,Определяет к какой подсистеме относится файл (служебный реквизит),,DontCheck,InformationRegisters/НастройкиОчисткиФайлов.xml
Регистр сведений,НастройкиПечатиОбъектов,Измерение,ТипОбъекта,Тип объекта,; xs:string,,,ShowError,InformationRegisters/НастройкиПечатиОбъектов.xml
Регистр сведений,НастройкиПечатиОбъектов,Измерение,Организация,Организация,; cfg:CatalogRef.Организации,,,DontCheck,InformationRegisters/НастройкиПечатиОбъектов.xml
Регистр сведений,НастройкиПечатиОбъектов,Измерение,Партнер,Клиент,; cfg:CatalogRef.Партнеры,,,DontCheck,InformationRegisters/НастройкиПечатиОбъектов.xml
Регистр сведений,НастройкиПечатиОбъектов,Ресурс,Настройки,Настройки,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиПечатиОбъектов.xml
Регистр сведений,НастройкиПодключенияВЕТИС,Измерение,ХозяйствующийСубъект,Хозяйствующий субъект,; cfg:CatalogRef.ХозяйствующиеСубъектыВЕТИС,,,ShowError,InformationRegisters/НастройкиПодключенияВЕТИС.xml
Регистр сведений,НастройкиПодключенияВЕТИС,Ресурс,Логин,Логин,; cfg:DefinedType.СтрокаВЕТИС,,,ShowError,InformationRegisters/НастройкиПодключенияВЕТИС.xml
Регистр сведений,НастройкиПодключенияВЕТИС,Ресурс,Таймаут,"Таймаут, с",; xs:decimal,,,ShowError,InformationRegisters/НастройкиПодключенияВЕТИС.xml
Регистр сведений,НастройкиПодключенияВЕТИС,Ресурс,Администратор,Администратор,; cfg:CatalogRef.ПользователиВЕТИС,,,DontCheck,InformationRegisters/НастройкиПодключенияВЕТИС.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Измерение,Организация,Организация,; cfg:DefinedType.Организация,,,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Измерение,РабочееМесто,Рабочее место,; cfg:DefinedType.РабочиеМестаИС,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Измерение,Приоритет,Приоритет,; xs:decimal,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,АдресПодключенияЛМ,Адрес подключения ЛМ,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,Логин,Логин,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,ОбменНаСервере,Обмен на сервере,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,Таймаут,Таймаут (с.),; xs:decimal,"Определяет время ожидания осуществляемого соединения и операций, в секундах.",,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,УдалитьНастроенныеТоварныеГруппы,(не используется) Настроенные товарные группы,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Ресурс,УдалитьКоличествоДнейВыгрузкиКарточек,(не используется) Количество дней выгрузки карточек,; xs:decimal,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Реквизит,СерверПодключенияЛМ,Сервер подключения ЛМ,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Реквизит,ПортПодключенияЛМ,Порт подключения ЛМ,; xs:decimal,,,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Реквизит,ЗащищенноеСоединение,Защищенное соединение,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Реквизит,ХешСумма,Хеш сумма,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияЛокальныхМодулейИСМП,Реквизит,ФорматОбмена,Формат обмена,; cfg:EnumRef.ВерсииФорматаОбменаЛокальногоМодуляИСМП,,,ShowError,InformationRegisters/НастройкиПодключенияЛокальныхМодулейИСМП.xml
Регистр сведений,НастройкиПодключенияСАТУРН,Измерение,Пользователь,Пользователь,; cfg:DefinedType.ПользователиИС,,,DontCheck,InformationRegisters/НастройкиПодключенияСАТУРН.xml
Регистр сведений,НастройкиПодключенияСАТУРН,Измерение,Организация,Организация,; cfg:DefinedType.Организация,,,ShowError,InformationRegisters/НастройкиПодключенияСАТУРН.xml
Регистр сведений,НастройкиПодключенияСАТУРН,Реквизит,Логин,Логин,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияСАТУРН.xml
Регистр сведений,НастройкиПодключенияСАТУРН,Реквизит,КлючАвторизации,Ключ авторизации,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияСАТУРН.xml
Регистр сведений,НастройкиПодключенияСАТУРН,Реквизит,КлючОбновления,Ключ обновления,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияСАТУРН.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Измерение,НомерФискальногоНакопителя,Номер фискального накопителя,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Ресурс,Адрес,Адрес,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Ресурс,ОбменНаСервере,Обмен на сервере,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Ресурс,Таймаут,Таймаут (с.),; xs:decimal,"Определяет время ожидания осуществляемого соединения и операций, в секундах.",,ShowError,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Ресурс,ТаймаутПроверкиКодаМаркировки,Таймаут проверки кода маркировки (мс.),; xs:decimal,"Определяет время ожидания ответа от ГИС МТ, в миллисекундах.",,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,Сервер,Сервер,; xs:string,,,ShowError,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,Порт,Порт,; xs:decimal,,,ShowError,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,ЗащищенноеСоединение,Защищенное соединение,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,ИдентификаторЭкземпляраТСПИоТ,Идентификатор экземпляра ТС ПИоТ,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,ЗаводскойНомерККТ,Заводской номер ККТ,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,ИНН,ИНН,; xs:string,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,Организация,Организация,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПодключенияТСПИоТ,Реквизит,РабочееМесто,Рабочее место,; cfg:DefinedType.РабочиеМестаИС,,,DontCheck,InformationRegisters/НастройкиПодключенияТСПИоТ.xml
Регистр сведений,НастройкиПолномочийМЧД,Измерение,Наименование,Наименование,; xs:string,,,DontCheck,InformationRegisters/НастройкиПолномочийМЧД.xml
Регистр сведений,НастройкиПолномочийМЧД,Измерение,Пользователь,Пользователь,; cfg:CatalogRef.Пользователи,,,DontCheck,InformationRegisters/НастройкиПолномочийМЧД.xml
Регистр сведений,НастройкиПолномочийМЧД,Ресурс,Настройка,Настройка,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиПолномочийМЧД.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,Получатель,Получатель,; cfg:DefinedType.Организация,,,ShowError,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,Отправитель,Отправитель,; cfg:DefinedType.УчастникЭДО,,,ShowError,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,ИдентификаторОтправителя,Идентификатор отправителя,; xs:string,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,ИдентификаторПолучателя,Идентификатор получателя,; xs:string,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,ВидДокумента,Вид документа,; cfg:CatalogRef.ВидыДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,УдалитьВидДокумента,(не используется) Вид документа,; cfg:EnumRef.ТипыДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Измерение,УдалитьПрикладнойВидЭД,(не используется) Прикладной вид ЭД,; cfg:DefinedType.ПрикладныеТипыЭлектронныхДокументовЭДО,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Ресурс,СпособОбработки,Способ обработки,; xs:string,Способ обработки входящего документа,,ShowError,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПолученияЭлектронныхДокументов,Реквизит,НеПредлагатьСохранятьНастройки,Не предлагать сохранять настройки,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПолученияЭлектронныхДокументов.xml
Регистр сведений,НастройкиПользователейБИП,Измерение,Пользователь,Пользователь,; cfg:CatalogRef.Пользователи,,,ShowError,InformationRegisters/НастройкиПользователейБИП.xml
Регистр сведений,НастройкиПользователейБИП,Ресурс,РазрешенаНастройкаОтборов,Разрешена настройка отборов,; xs:boolean,,,DontCheck,InformationRegisters/НастройкиПользователейБИП.xml
Регистр сведений,НастройкиПользователейБИП,Ресурс,НастройкиПоказаНовостей,Настройки показа новостей,; v8:ValueStorage,,,DontCheck,InformationRegisters/НастройкиПользователейБИП.xml
Регистр сведений,НастройкиПравОбъектов,Измерение,Объект,Объект,; cfg:DefinedType.ВладелецНастроекПрав,"Объект - владелец настроек прав для себя и для подчиненных объектов (например, папка может хранить настройки прав для себя и для файлов).",,DontCheck,InformationRegisters/НастройкиПравОбъектов.xml
